Family,Instance Name,with-VBGS,,,without-VBGS,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
misc,bcsstk14,3463,3463,3463,3501,3501,3501
misc,bcsstk15,6896,6896,6896,7093,7093,7093
misc,bcsstk16,9509,9509,9509,9545,9545,9545
misc,bcsstk17,14638,14623,14623,14744,14744,14744
misc,bcsstk18,14492,14471,14464,14652,14652,14652
misc,bcsstk21,4895,4895,4895,4918,4918,4918
misc,bcsstk23,5894,5894,5894,5934,5934,5934
misc,bcsstk24,6032,6032,6032,6052,6052,6052
misc,bcsstk25,20541,20502,20502,20721,20721,20721
misc,bcsstk26,2924,2923,2923,2930,2930,2930
misc,bcsstk27,2763,2763,2763,2873,2873,2873
misc,bcsstk28,7295,7295,7295,7323,7323,7323
misc,bcsstk29,19153,19120,19120,19164,19164,19164
misc,bcsstk30,37456,37387,37387,38495,37949,37949
misc,bcsstk31,43462,43343,43343,43488,43332,43332
misc,bcsstk32,52922,52392,52376,52922,52447,52447
misc,bcsstk33,16516,16511,16511,16569,16569,16569
misc,bcsstk35,36535,36469,36452,36590,36517,36517
misc,bcsstk36,29287,29287,29287,29264,29260,29260
misc,bcsstk37,31973,31924,31920,32008,31990,31990
misc,bcsstk38,12210,12210,12210,12215,12215,12215
misc,bcsstk39,55765,55453,55393,55695,55489,55489
misc,bcsstm10,1972,1972,1972,1994,1994,1994
misc,bcsstm12,2275,2252,2252,2298,2298,2298
misc,bcsstm27,2839,2839,2839,2889,2889,2889
misc,bcsstm35,1408,1408,1408,1408,1408,1408
misc,bcsstm36,15675,15675,15675,15700,15700,15700
misc,bcsstm38,2004,2004,2004,2007,2007,2007
misc,belgium-osm,1443157,1443117,1443109,1443157,1443124,1443115
misc,benzene,19798,19567,19550,19931,19931,19931
misc,bfly,60445,58365,58365,60848,59628,59628
misc,bibd-13-6,4690,4680,4663,4725,4725,4725
misc,bibd-14-7,7328,7328,7328,7335,7335,7335
misc,bibd-15-7,10867,10867,10859,10883,10883,10883
misc,bibd-16-8,18218,18218,18218,18237,18237,18237
misc,bibd-17-8,30356,30354,30354,30374,30374,30374
misc,bibd-18-9,55696,55695,55693,55698,55698,55698
misc,bibd-49-3,27458,27434,27433,27495,27495,27495
misc,bibd-81-3,110761,110732,110676,110768,110768,110768
misc,bibsonomy-2ti,1104402,1104402,1021404,1104402,1031854,1024170
misc,bibsonomy-2ui,770399,770360,770332,770399,770379,770379
misc,bibsonomy-2ut,240643,238295,236715,239557,237508,236584
misc,big,14669,14669,14669,14747,14747,14747
misc,big-dual,31687,31677,31677,31706,31706,31706
misc,biplane-9,23242,23230,23230,23310,23310,23310
misc,bips07-1693,13242,13237,13237,13256,13256,13256
misc,bips07-1998,14833,14830,14828,14875,14875,14875
misc,bips07-2476,16656,16648,16648,16656,16656,16656
misc,bips07-3078,20827,20823,20819,20839,20839,20839
misc,bips98-1142,9770,9766,9758,9793,9793,9793
misc,bips98-1450,11266,11256,11255,11291,11291,11291
misc,bips98-606,7096,7096,7096,7119,7119,7119
misc,blockqp1,60705,60705,60705,60705,60705,60705
misc,bloweya,30178,30178,30178,30178,30178,30178
misc,bloweybl,30191,30191,30191,30191,30191,30191
misc,bloweybq,10175,10175,10175,10175,10175,10175
misc,bodyy4,19375,19375,19375,19454,19454,19454
misc,bodyy5,20495,20494,20491,20576,20576,20576
misc,bodyy6,21334,21324,21323,21414,21414,21414
misc,bookcrossing-full-rating,535494,535317,533932,535494,535391,533930
misc,bookcrossing-rating,288205,287596,286410,288232,287054,286797
misc,boyd1,93717,93717,93717,93722,93722,93722
misc,boyd2,466481,466481,466481,466481,466481,466481
misc,brack2,70875,70568,70546,70836,70658,70658
misc,brainpc2,27984,27984,27984,27984,27984,27984
misc,bratu3d,35802,35720,35713,35884,35884,35884
misc,bundle1,15702,15663,15645,15763,15756,15756
misc,c-18,2977,2977,2977,3015,3015,3015
misc,c-19,3491,3491,3491,3523,3523,3523
misc,c-20,3813,3791,3784,3886,3886,3886
misc,c-21,4545,4488,4444,4644,4644,4644
misc,c-22,4953,4913,4879,5030,5030,5030
