Family,Instance Name,METIS,,,,,,,,,SPAC,,,,,,,,,SHEEP,,,,,,,,,NE,,,,,,,,
,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
misc,shuttle-eddy,12543,12543,12543,12562,12562,12562,12511,12511,12511,13055,13055,13055,13041,13041,13041,12806,12806,12806,14827,14827,14827,14748,14748,14748,14181,14181,14181,12859,12859,12859,12859,12859,12859,12850,12850,12850
misc,shyy161,80561,80561,80561,80554,80554,80554,80478,80478,80478,81138,81138,81138,81137,81137,81137,80759,80759,80759,86769,86769,86769,86769,86769,86769,86769,86769,86769,80584,80584,80584,80584,80584,80584,80584,80584,80584
misc,shyy41,5688,5688,5688,5692,5692,5692,5680,5680,5680,5799,5799,5799,5796,5796,5796,5753,5753,5753,7120,7120,7120,7112,7112,7112,7115,7115,7115,5679,5679,5679,5679,5679,5679,5679,5679,5679
misc,Si10H16,48713,48713,48713,53525,51674,51674,48215,48215,48215,46080,46080,46080,46039,46039,46032,45606,45606,45606,130117,130117,130117,134081,127492,127492,127508,127508,127508,47884,47884,47884,47884,47884,47884,47855,47855,47855
misc,Si5H12,59996,59996,59996,63575,63567,63512,107561,59390,59390,52162,52162,52162,52251,52250,52242,51641,51641,51641,141636,141636,141636,146366,143574,143574,141347,141347,141347,57250,57250,57250,57250,57250,57250,57250,57250,57250
misc,Sieber,2812,2812,2812,2813,2813,2813,2812,2812,2812,2544,2544,2544,2544,2544,2544,2544,2544,2544,2524,2524,2524,2524,2524,2524,2524,2524,2524,2965,2965,2965,2965,2965,2965,2965,2965,2965
misc,SiH4,18087,18087,18087,17748,17747,17700,17525,17525,17525,13529,13529,13529,13554,13550,13548,13400,13400,13400,37871,37871,37871,37035,37035,37035,37814,37814,37814,15516,15516,15516,15516,15516,15516,15516,15516,15516
misc,SiNa,20089,20089,20089,20066,20061,20031,19873,19873,19873,15386,15386,15386,15400,15397,15396,15256,15256,15256,42120,42120,42120,40280,40280,40280,41638,41638,41638,18094,18094,18094,18094,18094,18094,18094,18094,18094
misc,sinc12,42140,42140,42140,52072,52071,52070,40811,40811,40811,32907,32907,32907,33041,33039,32981,32723,32723,32723,77252,77252,77252,77210,77210,77210,77743,65254,65254,41416,41416,41416,41416,41416,41416,41416,41416,41416
misc,sinc15,66845,66845,66845,86984,86666,86665,226980,65011,65011,51407,51407,51407,51678,51675,51669,50856,50856,50856,122694,122694,122694,122681,122681,122681,123242,107869,107869,63086,63086,63086,63086,63086,63086,63086,63086,63086
misc,sinc18,345459,98164,98164,345458,130707,130707,345459,95253,95253,72912,72912,72912,73722,73721,73706,79151,72278,72278,175084,175084,175084,175187,175166,175166,176725,165877,165877,90445,90445,90445,90445,90445,90445,90268,90268,90268
misc,SiO,83511,83511,83511,85742,85535,85529,142651,82719,82719,83831,83831,83831,83968,83968,83965,89561,82946,82946,237510,237510,237510,244097,244078,240657,236748,236748,236748,83566,83566,83566,83566,83566,83566,83566,83566,83566
misc,sit100,12481,12481,12481,12477,12477,12477,12446,12446,12446,12561,12561,12561,12558,12558,12558,12538,12538,12538,14022,14022,14022,14264,14264,14264,14059,14059,14059,12652,12652,12652,12652,12652,12652,12627,12627,12627
misc,skirt,15010,15010,15010,15075,15075,15075,14957,14957,14957,15591,15591,15591,15583,15583,15583,15493,15493,15493,25013,25013,25013,25252,25252,25252,22272,22272,22272,16505,16505,16505,16505,16505,16505,16505,16505,16505
misc,slashdot-threads,82853,82853,82853,82240,82240,82231,104583,81934,81934,82829,82829,82829,82824,82824,82824,81718,81718,81718,92036,92036,92036,92036,92036,92036,92036,92036,92036,79228,79228,79228,79225,79225,79225,79197,79197,79197
misc,slashdot-zoo,187119,187119,187119,184904,184693,184688,328616,328616,183867,253776,206458,206458,206800,206721,206716,253776,253776,196633,240289,240289,240289,239898,239892,239891,239327,239327,239327,175394,175394,175394,175394,175394,175394,175394,175394,175394
misc,slptsk,15032,15032,15032,15432,15430,15430,14376,14376,14376,16056,16056,16056,16084,16084,16084,15993,15993,15993,18632,18632,18632,18621,18621,18621,18182,18182,18182,16138,16138,16138,16138,16138,16138,15720,15720,15720
misc,sme3Da,21267,21267,21267,21045,21034,21028,20038,20038,20038,48505,48505,48505,50256,50247,50247,47158,47158,47158,152543,152543,152543,146544,137662,135009,150496,150496,150496,19882,19882,19882,19882,19882,19882,19883,19883,19883
misc,sme3Db,41413,41413,41413,41671,41651,41606,40681,40681,40681,95224,95224,95224,101931,100364,100364,122051,93332,93332,391349,377227,377227,391073,386300,384081,373503,373503,373503,42365,42365,42365,42363,42363,42363,42358,42358,42358
misc,smt,47666,47666,47666,49083,49038,49034,83836,45158,45158,43585,43585,43585,43554,43508,43502,43375,43375,43375,104752,97642,97642,104608,100974,100537,104752,95608,95608,44602,44602,44602,44606,44606,44606,44602,44602,44602
misc,soc-Epinions1,137892,137892,137892,136503,136427,136418,237071,135910,135910,145404,145404,145404,147145,147048,147047,166812,143076,143076,185409,185409,185409,185013,185006,185005,182397,182397,182397,131084,131084,131084,131084,131084,131084,131065,131065,131065
misc,soc-sign-epinions,377675,222463,222463,236960,221580,221554,377675,377675,219432,232953,232953,232953,238272,236591,236570,270277,234045,234045,288147,288147,288147,288196,288185,288180,288160,288160,288160,213876,213876,213876,213876,213876,213876,213876,213876,213876
misc,soc-sign-Slashdot081106,185093,185093,185093,327939,182742,182742,327939,327939,182324,198186,198186,198186,199984,199855,199853,234250,192586,192586,239108,239108,239108,239058,239049,239049,238415,238415,238415,173142,173142,173142,173142,173142,173142,173142,173142,173142
misc,soc-sign-Slashdot090216,194628,194628,194628,191927,191908,191895,343174,343174,190610,209659,209659,209659,212030,211862,211862,247885,201419,201419,252606,252606,252606,252583,252580,252578,252147,252147,252147,181904,181904,181904,181904,181904,181904,181761,181761,181761
misc,soc-sign-Slashdot090221,195201,195201,195201,192802,192727,192719,344534,344534,191465,209228,209228,209228,211257,211109,211108,248666,202325,202325,253545,253545,253545,253559,253554,253552,252254,252254,252254,182502,182502,182502,182502,182502,182502,182473,182473,182473
misc,soc-Slashdot0811,185697,185697,185697,183604,183452,183450,328627,328627,181934,198398,198398,198398,201329,201188,201184,234896,194352,194352,238896,238896,238896,238637,238630,238630,239097,230184,230184,173978,173978,173978,173978,173978,173978,173978,173978,173978
misc,soc-Slashdot0902,195793,195793,195793,345667,192801,192801,345668,345668,191749,209344,209344,209344,212934,212726,212721,248710,205020,205020,253752,253752,253752,253440,253438,253438,253955,249754,249754,182899,182899,182899,182899,182899,182899,182856,182856,182856
misc,south31,57407,57407,57407,57641,57621,57615,56669,56669,56669,56073,56073,56073,56074,56074,56074,56068,56068,56068,55481,55481,55481,55481,55481,55481,55481,55481,55481,63902,63902,63902,63733,63733,63690,63902,63902,63902
misc,sparsine,120189,120189,120189,123832,123824,123809,200631,118776,118776,201403,201403,201403,210447,210401,210400,260519,193147,193147,495452,495452,495452,513812,503180,503180,490639,490639,490639,127715,127715,127715,127715,127715,127715,127715,127715,127715
misc,spiral,2731,2731,2731,2803,2803,2803,2717,2717,2717,2522,2522,2522,2530,2530,2530,2514,2514,2514,2978,2978,2978,3457,3457,3457,3118,3118,3118,2678,2678,2678,2678,2678,2678,2678,2678,2678
misc,spmsrtls,30184,30184,30184,30184,30184,30184,30184,30184,30184,30184,30184,30184,30184,30184,30184,30184,30184,30184,49955,49955,49955,50180,50180,50180,47565,47565,47565,30274,30274,30274,30274,30274,30274,30277,30277,30277
misc,srb1,65934,65934,65934,67091,67079,67070,65772,65772,65772,66702,66702,66702,68146,66732,66732,66372,66372,66372,74147,74147,74147,74215,74215,74215,74277,74277,74277,68691,68691,68691,68690,68690,68690,68691,68691,68691
misc,stackexchange-stackoverflow,1094354,852534,852534,1094350,1094350,844841,1094354,1094354,839986,991514,870621,870621,991514,872448,872117,991514,991514,852095,924488,924488,924488,924465,924462,924462,924465,924465,924465,823304,823304,823304,823304,823304,823304,823394,823394,819053
misc,Stanford,413715,307734,307734,309711,309460,309399,413715,302743,302743,401216,338359,338359,351152,340735,339753,401216,401216,326512,374433,365475,365475,371334,370921,369713,374433,362052,362052,332339,332339,332339,332345,332345,332178,332349,332287,332287
misc,Stanford-Berkeley,39625,39625,39625,39141,39137,39137,39067,39067,39067,68012,68012,68012,69435,66708,66491,54205,54205,54205,44531,44531,44531,45319,45256,45256,43285,43285,43285,44123,44123,44123,44181,44117,44117,44181,44181,44181
misc,stat96v1,205136,205136,205136,205173,205162,205160,205211,205211,205211,204774,204774,204774,204781,204781,204781,204798,204798,204798,206689,206689,206689,206671,206671,206671,206014,206014,206014,206790,206790,206790,206786,206786,206786,206618,206618,206618
misc,stat96v4,70545,70545,70545,71187,71187,71187,69002,69002,69002,67437,67437,67437,67437,67437,67437,67437,67437,67437,68311,68311,68311,68311,68311,68311,68176,68176,68176,87567,87567,87567,87567,87567,87567,87567,87567,87567
misc,stat96v5,79299,79299,79299,79296,79296,79296,79241,79241,79241,79090,79090,79090,79075,79074,79074,79106,79106,79106,80013,80013,80013,79964,79964,79964,79985,79985,79985,80568,80568,80568,80564,80564,80564,80510,80510,80510
misc,std1-Jac2,198681,86657,86657,198681,92115,89311,198681,83580,83580,70392,70392,70392,69872,69432,69432,74898,69832,69832,189935,189935,189935,190203,189984,189206,189560,189560,189560,75148,75148,75148,75148,75148,75148,75109,75109,75109
misc,std1-Jac2-db,25269,25269,25269,26207,26194,26192,24055,24055,24055,24229,24229,24229,24038,24038,24005,24055,24055,24055,88456,88456,88456,90506,90235,90016,81742,81742,81742,22971,22971,22971,22971,22971,22971,22971,22971,22971
misc,std1-Jac3,219173,88381,88381,219175,219175,93947,219173,86591,86591,74193,74193,74193,74433,73625,73625,79889,73188,73188,194334,194334,194334,194570,194414,193244,194009,194009,194009,77428,77428,77428,77428,77428,77428,77428,77428,77428
misc,std1-Jac3-db,24546,24546,24546,26378,26377,26377,23906,23906,23906,24274,24274,24274,24030,24029,24029,23842,23842,23842,90495,90495,90495,91799,91743,91449,88019,88019,88019,22621,22621,22621,22621,22621,22621,22621,22621,22621
misc,stoch-aircraft,11510,11510,11510,11510,11510,11510,11512,11512,11512,11500,11500,11500,11500,11500,11500,11500,11500,11500,11491,11491,11491,11518,11518,11518,11490,11490,11490,15323,15323,15323,15323,15323,15323,15323,15323,15323
misc,stokes128,55201,55201,55201,54925,54925,54925,55010,55010,55010,56039,56039,56039,55688,55688,55688,55678,55678,55678,81274,81274,81274,81256,81256,81256,81284,81284,81284,56679,56679,56679,56679,56679,56679,56673,56673,56673
misc,stokes64,15223,15223,15223,15134,15134,15134,15142,15142,15142,15799,15799,15799,15530,15530,15530,15564,15564,15564,24032,24032,24032,24031,24031,24031,22167,22167,22167,15563,15563,15563,15563,15563,15563,15563,15563,15563
misc,stokes64s,15223,15223,15223,15134,15134,15134,15142,15142,15142,15799,15799,15799,15530,15530,15530,15564,15564,15564,24032,24032,24032,24031,24031,24031,22167,22167,22167,15832,15832,15832,15832,15832,15832,15832,15832,15832
misc,stomach,18318,18318,18318,18338,18338,18338,18197,18197,18197,44466,44466,44466,45289,45049,45049,22310,22310,22310,32794,32794,32794,32990,32942,32942,32487,32487,32487,19588,19588,19588,19553,19553,19553,19587,19587,19587
misc,stormg2-125,244004,244004,244004,244057,244009,243987,246759,243835,243835,242718,242718,242718,242727,242720,242718,243243,242694,242694,245819,245819,245819,246008,246008,246008,245693,245693,245693,258066,258066,258066,257994,257969,257969,258112,257777,257777
misc,stormg2-27,54509,54509,54509,54519,54516,54516,54432,54432,54432,54338,54338,54338,54333,54333,54333,54311,54311,54311,57374,57374,57374,57398,57398,57398,57165,57165,57165,56548,56548,56548,56548,56548,56548,56547,56547,56547
misc,stormg2-8,17437,17437,17437,17424,17424,17424,17377,17377,17377,17435,17435,17435,17431,17431,17431,17404,17404,17404,19316,19316,19316,19423,19423,19423,19049,19049,19049,18097,18097,18097,18065,18065,18065,18043,18043,18043
misc,struct3,59909,59909,59909,60302,60302,60302,59745,59745,59745,62766,62766,62766,62777,62777,62777,62231,62231,62231,122474,122474,122474,122724,122724,122724,122965,111733,111733,61350,61350,61350,61347,61347,61347,61307,61307,61307
misc,struct4,11773,11773,11773,12189,12186,12186,11571,11571,11571,12768,12768,12768,12960,12959,12959,12703,12703,12703,29746,29746,29746,29852,29852,29852,29637,29637,29637,11660,11660,11660,11660,11660,11660,11660,11660,11660
misc,sts4098,6417,6417,6417,6230,6226,6226,6295,6295,6295,6354,6354,6354,6359,6357,6357,6342,6342,6342,11211,11211,11211,11196,11196,11196,11258,11258,11258,6403,6403,6403,6403,6403,6403,6403,6403,6403
misc,stufe-10,25893,25893,25893,25894,25894,25894,25852,25852,25852,25881,25881,25881,25880,25880,25880,25841,25841,25841,29046,29046,29046,29072,29072,29072,28566,28566,28566,25895,25895,25895,25895,25895,25895,25891,25891,25891
misc,subelj-cora,33321,33321,33321,33069,33064,33062,33039,33039,33039,35068,35068,35068,35082,35038,34984,34375,34375,34375,60036,60036,60036,61417,61417,61417,42418,42418,42418,34992,34992,34992,34992,34992,34992,34991,34991,34991
misc,subelj-jdk,10659,10659,10659,10505,10494,10486,10418,10418,10418,10502,10502,10502,10584,10568,10551,10309,10309,10309,11721,11721,11721,11647,11647,11647,11653,11653,11653,10743,10743,10743,10743,10743,10743,10743,10743,10743
misc,subelj-jung-j,10159,10159,10159,10233,10218,10197,10043,10043,10043,10222,10222,10222,10346,10327,10299,9924,9924,9924,11088,11088,11088,11029,11029,11029,10777,10777,10777,10940,10940,10940,10940,10940,10940,10938,10938,10938
misc,swang1,3943,3943,3943,3950,3950,3950,3939,3939,3939,3981,3981,3981,3982,3982,3982,3970,3970,3970,5417,5417,5417,5467,5467,5467,5422,5422,5422,4017,4017,4017,4017,4017,4017,4017,4017,4017
misc,swang2,3943,3943,3943,3950,3950,3950,3939,3939,3939,3981,3981,3981,3982,3982,3982,3970,3970,3970,5417,5417,5417,5467,5467,5467,5422,5422,5422,4009,4009,4009,4009,4009,4009,4009,4009,4009
misc,t0331-4l,68300,68300,68300,67160,67157,67145,171519,66309,66309,60390,60390,60390,60419,60400,60387,60273,60273,60273,66171,66171,66171,66171,66171,66171,66171,66171,66171,66941,66941,66941,66941,66941,66941,66899,66899,66899
misc,t2dah,13813,13813,13813,13884,13884,13884,13768,13768,13768,14304,14304,14304,14300,14300,14300,14168,14168,14168,22706,22706,22706,22891,22891,22891,22848,22848,22848,14135,14135,14135,14113,14113,14113,14134,14134,14134
misc,t2dah-a,13813,13813,13813,13884,13884,13884,13768,13768,13768,14304,14304,14304,14300,14300,14300,14168,14168,14168,22706,22706,22706,22891,22891,22891,22848,22848,22848,14024,14024,14024,14024,14024,14024,14024,14024,14024
misc,t2dah-e,13813,13813,13813,13884,13884,13884,13768,13768,13768,14304,14304,14304,14300,14300,14300,14168,14168,14168,22706,22706,22706,22891,22891,22891,22848,22848,22848,14164,14164,14164,14164,14164,14164,14164,14164,14164
misc,t2dal,5456,5456,5456,5455,5455,5455,5441,5441,5441,5725,5725,5725,5722,5722,5722,5697,5697,5697,6847,6847,6847,6851,6851,6851,6849,6849,6849,5543,5543,5543,5543,5543,5543,5529,5529,5529
misc,t2dal-a,5456,5456,5456,5455,5455,5455,5441,5441,5441,5725,5725,5725,5722,5722,5722,5697,5697,5697,6847,6847,6847,6851,6851,6851,6849,6849,6849,5583,5583,5583,5583,5583,5583,5583,5583,5583
misc,t2dal-bci,5456,5456,5456,5455,5455,5455,5441,5441,5441,5725,5725,5725,5722,5722,5722,5697,5697,5697,6847,6847,6847,6851,6851,6851,6849,6849,6849,5555,5555,5555,5555,5555,5555,5542,5542,5542
misc,t2d-q4,11634,11634,11634,11657,11657,11657,11576,11576,11576,12115,12115,12115,12112,12112,12112,11895,11895,11895,15710,15710,15710,15710,15710,15710,15499,15499,15499,11832,11832,11832,11832,11832,11832,11832,11832,11832
misc,t2d-q9,11634,11634,11634,11657,11657,11657,11576,11576,11576,12115,12115,12115,12112,12112,12112,11895,11895,11895,15710,15710,15710,15710,15710,15710,15499,15499,15499,11862,11862,11862,11862,11862,11862,11856,11856,11856
misc,t3dh,107394,107394,107394,113279,113279,113266,149732,107202,107202,126476,126476,126476,134841,126396,126396,134841,125315,125315,224831,224831,224831,226696,224928,224869,226950,224652,224652,115737,115737,115737,115737,115737,115737,115737,115737,115737
misc,t3dh-a,107394,107394,107394,113279,113279,113266,149732,107202,107202,126476,126476,126476,134841,126396,126396,134841,125315,125315,224831,224831,224831,226696,224928,224869,226950,224652,224652,116453,116453,116453,116308,116308,116308,116453,116453,116453
misc,t3dh-e,107394,107394,107394,113279,113279,113266,149732,107202,107202,126476,126476,126476,134841,126396,126396,134841,125315,125315,224831,224831,224831,226696,224928,224869,226950,224652,224652,119972,119972,119972,119972,119972,119972,119972,119972,119972
misc,t3dl,30143,30143,30143,30694,30690,30690,30000,30000,30000,35633,35633,35633,35622,35622,35622,34356,34356,34356,46260,46260,46260,46288,46288,46288,46368,46368,46368,31310,31310,31310,31310,31310,31310,31307,31307,31307
misc,t3dl-a,30143,30143,30143,30694,30690,30690,30000,30000,30000,35633,35633,35633,35622,35622,35622,34356,34356,34356,46260,46260,46260,46288,46288,46288,46368,46368,46368,31832,31832,31832,31832,31832,31832,31832,31832,31832
misc,t520,9079,9079,9079,9547,9542,9542,8904,8904,8904,9788,9788,9788,9801,9795,9795,9727,9727,9727,12664,12664,12664,12848,12848,12848,12710,12710,12710,9018,9018,9018,9018,9018,9018,9005,9005,9005
misc,t60k,62453,62453,62453,62453,62453,62453,62439,62439,62439,62507,62507,62507,62506,62506,62506,62468,62468,62468,64328,64328,64328,64303,64303,64303,63942,63942,63942,63095,63095,63095,63095,63095,63095,63095,63095,63095
misc,tandem-dual,103007,103007,103007,103006,103006,103006,102873,102873,102873,102828,102828,102828,102826,102826,102826,102653,102653,102653,121877,121877,121877,121944,121944,121944,120101,120101,120101,104536,104536,104536,104536,104536,104536,104496,104496,104496
misc,tandem-vtx,23999,23999,23999,23827,23827,23827,23913,23913,23913,24228,24228,24228,24216,24216,24216,24091,24091,24091,66539,66539,66539,65731,64102,64102,58245,58245,58245,24150,24150,24150,24131,24131,24131,24150,24150,24150
misc,tech-arenas-pgp,12090,12090,12090,12027,12027,12027,12059,12059,12059,12073,12073,12073,12064,12064,12064,12020,12020,12020,13293,13293,13293,14090,14090,14090,13273,13273,13273,12200,12200,12200,12200,12200,12200,12200,12200,12200
misc,tech-as-22july06,26914,26914,26914,26935,26933,26926,26844,26844,26844,27799,27799,27799,27886,27870,27864,27751,27751,27751,27463,27463,27463,27432,27432,27432,27419,27419,27419,30265,30265,30265,30265,30265,30265,30244,30244,30244
misc,tech-as-caida,30506,30506,30506,30509,30508,30503,30410,30410,30410,32349,32349,32349,32334,32282,32221,32067,32067,32067,31487,31487,31487,31487,31487,31487,31487,31487,31487,33434,33434,33434,33434,33434,33434,33457,33457,33457
misc,tech-as-caida20071105,30587,30587,30587,30593,30593,30592,30509,30509,30509,32250,32250,32250,32302,32299,32271,32008,32008,32008,31421,31421,31421,31421,31421,31421,31421,31421,31421,35162,35162,35162,35162,35162,35162,35159,35159,35159
misc,tech-as-skitter,2622777,2622777,1928890,2622756,2622756,1907465,2622777,2622777,1917511,2157462,2157462,1928986,2157459,2157459,1924880,2157462,2157462,1925193,3054563,3053571,3053571,3054563,3054416,3054369,3054563,3054563,3039437,2126202,2126143,2126143,2126145,2126143,2126143,2126202,2126202,2102354
misc,ted-A,15199,15199,15199,15772,15772,15772,14886,14886,14886,14169,14169,14169,14149,14149,14149,14164,14164,14164,19131,19131,19131,19682,19682,19682,18797,18797,18797,14983,14983,14983,14983,14983,14983,14958,14958,14958
misc,ted-AB,15438,15438,15438,15908,15908,15908,15457,15457,15457,14606,14606,14606,14509,14509,14509,14551,14551,14551,23946,23946,23946,24488,24488,24416,21384,21384,21384,14921,14921,14921,14921,14921,14921,14921,14921,14921
misc,ted-AB-unscaled,15438,15438,15438,15908,15908,15908,15457,15457,15457,14606,14606,14606,14509,14509,14509,14551,14551,14551,23946,23946,23946,24488,24488,24416,21384,21384,21384,15058,15058,15058,15040,15040,15040,15054,15054,15054
misc,ted-A-unscaled,15199,15199,15199,15772,15772,15772,14886,14886,14886,14169,14169,14169,14149,14149,14149,14164,14164,14164,19131,19131,19131,19682,19682,19682,18797,18797,18797,14804,14804,14804,14805,14805,14805,14804,14804,14804
misc,ted-B,6898,6898,6898,6930,6930,6930,6895,6895,6895,6810,6810,6810,6810,6810,6810,6810,6810,6810,7075,7075,7075,7083,7083,7083,7064,7064,7064,7138,7138,7138,7148,7148,7148,7255,7255,7255
misc,ted-B-unscaled,6898,6898,6898,6930,6930,6930,6895,6895,6895,6810,6810,6810,6810,6810,6810,6810,6810,6810,7075,7075,7075,7083,7083,7083,7064,7064,7064,7246,7246,7246,7227,7227,7227,7245,7245,7245
misc,testbig,49849,49849,49849,49833,49833,49833,49799,49799,49799,49509,49509,49509,49513,49513,49513,49503,49503,49503,49574,49574,49574,49641,49641,49641,49663,49663,49663,53046,53046,53046,53043,53043,53043,53043,53043,53043
misc,TF14,16280,16280,16280,16283,16283,16283,16013,16013,16013,15195,15195,15195,15197,15197,15197,14991,14991,14991,21266,21266,21266,20862,20813,20813,18933,18933,18933,16344,16344,16344,16344,16344,16344,16344,16344,16344
misc,TF15,39354,39354,39354,38994,38967,38967,38461,38461,38461,36167,36167,36167,36149,36149,36149,35740,35740,35740,53584,53584,53584,53174,52871,52862,44798,44798,44798,39504,39504,39504,39504,39504,39504,39500,39500,39500
misc,TF16,95040,95040,95040,94322,94265,94192,128683,92118,92118,86932,86932,86932,86934,86928,86912,90886,86069,86069,135360,135360,135360,135734,135572,135150,138727,107934,107934,96676,96676,96676,96676,96676,96676,96676,96676,96676
misc,TF17,232135,232135,232135,230136,230118,230008,319710,319710,224142,215530,215530,215530,215548,215546,215532,224909,224909,213016,344356,344356,344356,348224,348224,348188,350807,350807,266102,236475,236475,236475,236475,236475,236475,236467,236467,236467
misc,TF18,782770,571842,571842,782770,568404,568368,782770,782770,552711,554826,531252,531252,531386,531386,531369,554826,554826,524606,887913,878622,878622,885881,885881,885881,887913,887913,693160,599884,599884,599884,599884,599884,599884,599884,599884,592644
misc,thermal,5028,5028,5028,5200,5200,5200,5018,5018,5018,5970,5970,5970,5956,5956,5956,5957,5957,5957,8371,8371,8371,8500,8500,8500,8047,8047,8047,5824,5824,5824,5824,5824,5824,5824,5824,5824
misc,thermal1,86456,86456,86456,86394,86394,86394,86384,86384,86384,86648,86648,86648,86645,86645,86645,86540,86540,86540,127306,127306,127306,128669,128542,128514,129489,95996,95996,87094,87094,87094,87094,87094,87094,87082,87082,87082
misc,thermomech-dM,210334,210334,210334,212663,210224,210224,212663,210205,210205,210622,210622,210622,212108,210600,210600,212108,210421,210421,354203,339009,339009,350576,344904,344904,354203,233353,233353,211752,211752,211752,211694,211694,211694,211749,211749,211749
misc,thermomech-TC,106675,106675,106675,106623,106623,106623,106585,106585,106585,106891,106891,106891,106874,106874,106874,106749,106749,106749,157159,157159,157159,173433,164975,164975,189267,120931,120931,107490,107490,107490,107490,107490,107490,107490,107490,107490
misc,thermomech-TK,106675,106675,106675,106623,106623,106623,106585,106585,106585,106891,106891,106891,106874,106874,106874,106749,106749,106749,157159,157159,157159,173432,164975,164975,189267,120931,120931,107421,107421,107421,107381,107381,107381,107394,107394,107394
misc,thread,55619,55619,55619,60381,60380,60380,101656,55127,55127,57206,57206,57206,57499,57492,57492,69268,56714,56714,121258,121258,121258,126541,121181,121101,126618,119334,119334,53872,53872,53872,53880,53880,53880,53873,53873,53873
misc,tomographic1,123905,123905,123905,122765,122752,122746,142047,123073,123073,122248,122248,122248,122232,122228,122228,123109,122057,122057,332183,312023,312023,331390,318857,310627,332183,177498,177498,135126,135126,135126,135126,135126,135126,135140,134445,134445
misc,torsion1,42845,42845,42845,42847,42847,42847,42815,42815,42815,42940,42940,42940,42939,42939,42939,42796,42796,42796,51435,51435,51435,51435,51435,51435,51435,51435,51435,42911,42911,42911,42886,42886,42886,42911,42911,42911
misc,torso2,121663,121663,121663,121674,121674,121674,121309,121309,121309,122575,122575,122575,122571,122571,122571,122206,122206,122206,127077,127077,127077,127118,127118,127118,123976,123976,123976,124238,124238,124238,124238,124238,124238,124238,124238,124238
misc,trans4,129168,129168,129168,130220,130220,130220,141149,127705,127705,118843,118843,118843,118847,118847,118847,118843,118843,118843,124986,124986,124986,124986,124986,124986,124986,124986,124986,153575,153575,153575,153575,153575,153575,153566,153566,153566
misc,trans5,129168,129168,129168,130220,130220,130220,141149,127705,127705,118843,118843,118843,118847,118847,118847,118843,118843,118843,124986,124986,124986,124986,124986,124986,124986,124986,124986,166015,166015,166015,166015,166015,166015,166015,166015,166015
misc,transient,191588,191588,191588,191673,191672,191670,197430,190914,190914,183762,183762,183762,184184,183765,183765,183754,183754,183754,187500,187500,187500,187495,187495,187460,187520,187520,187520,187136,187136,187136,187129,187129,187129,187136,187136,187136
misc,trdheim,27598,27598,27598,28630,28630,28630,27062,27062,27062,27951,27951,27951,27871,27871,27871,27921,27921,27921,39027,39027,39027,40739,40739,40493,41206,38247,38247,28465,28465,28465,28466,28466,28466,28469,28469,28469
misc,Trec11,7458,7458,7458,8229,8229,8229,7335,7335,7335,6250,6250,6250,6241,6241,6241,6231,6231,6231,11264,11264,11264,11195,11195,11195,10446,10446,10446,7159,7159,7159,7159,7159,7159,7159,7159,7159
misc,Trec12,18356,18356,18356,22091,22089,22088,18623,18623,18623,15322,15322,15322,15288,15288,15288,15239,15239,15239,30148,30148,30148,29926,29926,29926,28658,28658,28658,17731,17731,17731,17731,17731,17731,17731,17731,17731
misc,Trec13,45718,45718,45718,187779,58343,58343,187779,45371,45371,37540,37540,37540,37526,37526,37526,37338,37338,37338,77184,77184,77184,76898,76852,76852,77075,77075,77075,43596,43596,43596,43596,43596,43596,43596,43596,43596
misc,Trec14,509055,114435,114435,509058,159209,158070,509055,509055,113828,92366,92366,92366,91908,91798,91798,98503,92366,92366,191801,191801,191801,191717,191412,191355,191863,191473,191473,108952,108952,108952,108952,108952,108952,108942,108942,108942
misc,Trefethen-2000,8161,8161,8161,8225,8225,8225,8023,8023,8023,5478,5478,5478,5512,5512,5512,5436,5436,5436,11255,11255,11255,11234,11234,11234,11357,11357,11357,7427,7427,7427,7427,7427,7427,7427,7427,7427
misc,Trefethen-20000,83254,83254,83254,83622,83611,83577,125313,80750,80750,44511,44511,44511,44533,44528,44528,44334,44334,44334,117440,117440,117440,117741,117741,117741,109985,109985,109985,73084,73084,73084,73084,73084,73084,73084,73084,73084
misc,Trefethen-20000b,82990,82990,82990,83717,83711,83683,126207,80313,80313,45473,45473,45473,45620,45612,45611,45060,45060,45060,117883,117883,117883,117900,117900,117900,110593,110593,110593,70705,70705,70705,70705,70705,70705,70698,70698,70698
