Family,Instance Name,METIS,,,,,,,,,SPAC,,,,,,,,,SHEEP,,,,,,,,,NE,,,,,,,,
,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
ca,ca-cit-HepPh,447532,118812,118812,447540,447540,130331,447532,119816,119816,244647,210340,210340,244647,211348,211264,244647,244647,205710,399806,399806,399806,399880,399719,399638,399869,399869,399869,101976,101976,101976,101977,101976,101976,101991,101831,101831
ca,ca-cit-HepTh,408305,104146,104146,408305,408305,118586,408305,104967,104967,190899,164192,164192,190899,162151,162113,190899,160314,160314,269861,269861,269861,269825,269694,269592,269808,269808,269808,84877,84877,84877,84877,84877,84877,84889,84732,84732
ca,ca-CondMat,30496,30496,30496,30122,30109,30108,30144,30144,30144,32741,32741,32741,32603,32551,32444,31451,31451,31451,40299,40299,40299,44214,44214,44210,32717,32717,32717,30889,30889,30889,30889,30889,30889,30886,30886,30886
ca,ca-GrQc,5497,5497,5497,5506,5506,5506,5470,5470,5470,5613,5613,5613,5634,5634,5634,5604,5604,5604,5876,5876,5876,6168,6167,6167,5915,5915,5915,5577,5577,5577,5575,5575,5575,5577,5577,5577
ca,ca-IMDB,2025563,2025563,1541067,2025560,2025560,1518211,2025563,2025563,1513964,2042979,2042979,1751229,2042975,2042975,1768600,2042979,2042979,1729950,2784043,2783656,2783656,2784043,2784043,2784005,2784043,2784043,2594080,1626320,1626320,1626320,1626320,1626320,1626320,1626321,1626321,1609062
ca,ca-MathSciNet,412672,412672,412672,411050,411048,411028,458908,458908,409213,462535,423504,423504,423593,423522,423305,462535,462535,415564,566832,532020,532020,566832,552381,542854,566832,566832,452695,439356,439356,439356,439356,439356,439356,439348,439348,439348
cit,cit-DBLP,21375,21375,21375,21021,21019,21018,21094,21094,21094,23339,23339,23339,23321,23265,23228,22877,22877,22877,36101,36101,36101,36101,36101,36101,36101,36101,36101,21999,21999,21999,21999,21999,21999,21999,21999,21999
cit,cit-HepPh,447532,118812,118812,447540,447540,130331,447532,447532,119816,244647,210340,210340,244647,211361,211264,244647,244647,205710,399806,399806,399806,399880,399719,399637,400034,399869,399869,100601,100601,100601,100601,100601,100601,100604,100421,100421
cit,cit-HepTh,408305,104146,104146,408305,408305,118487,408305,104967,104967,190899,164192,164192,190899,162151,162113,190899,160314,160314,269861,269861,269861,269825,269694,269592,269808,269808,269808,85396,85396,85396,85396,85396,85396,85396,85396,85396
dimacs10,144,167808,167808,167808,167689,167689,167689,185459,167438,167438,170299,170299,170299,186080,169954,169952,186080,169189,169189,705136,682143,682143,702157,702029,697093,705136,705136,241134,172739,172739,172739,172739,172739,172739,172734,172734,172734
dimacs10,598a,128601,128601,128601,141621,128419,128419,141621,128394,128394,129505,129505,129505,129277,129275,129275,142151,128964,128964,555618,538544,538544,554499,552239,528402,555618,452491,452491,130837,130837,130837,130837,130837,130837,130826,130826,130826
dimacs10,auto,498888,498888,498888,535987,498502,498502,535987,498207,498207,531965,501522,501522,531965,501063,501063,531965,531965,500026,2087790,2087790,2079193,2087756,2084895,2083181,2087790,2087790,1619118,509772,509772,509772,509722,509722,509722,509772,509772,509772
dimacs10,coAuthorsCiteseer,257385,257385,257385,288620,256771,256771,288620,256403,256403,261184,261184,261184,275560,261163,261163,275560,258400,258400,332070,294200,294200,331531,320358,286863,332070,268781,268781,264213,264213,264213,264218,264218,264218,264313,263955,263955
dimacs10,cs4,26650,26650,26650,26656,26656,26656,26582,26582,26582,26575,26575,26575,26573,26573,26573,26512,26512,26512,33704,33704,33704,33748,33748,33748,31888,31888,31888,27244,27244,27244,27244,27244,27244,27247,27247,27247
dimacs10,cti,22056,22056,22056,22062,22062,22062,21936,21936,21936,22076,22076,22076,22077,22077,22077,21969,21969,21969,28586,28586,28586,28569,28569,28569,28520,28520,28520,21520,21520,21520,21520,21520,21520,21520,21520,21520
dimacs10,delaunay-n10,1495,1495,1495,1495,1495,1495,1497,1497,1497,1500,1500,1500,1499,1499,1499,1500,1500,1500,1603,1603,1603,1618,1618,1618,1617,1617,1617,1505,1505,1505,1505,1505,1505,1505,1505,1505
dimacs10,delaunay-n11,2663,2663,2663,2648,2648,2648,2663,2663,2663,2671,2671,2671,2675,2675,2675,2672,2672,2672,3008,3008,3008,2957,2957,2957,2971,2971,2971,2708,2708,2708,2708,2708,2708,2708,2708,2708
dimacs10,delaunay-n12,4950,4950,4950,4931,4931,4931,4939,4939,4939,4980,4980,4980,4978,4978,4978,4973,4973,4973,5794,5794,5794,6006,6006,6006,5807,5807,5807,4976,4976,4976,4976,4976,4976,4976,4976,4976
dimacs10,delaunay-n13,9396,9396,9396,9363,9363,9363,9381,9381,9381,9450,9450,9450,9448,9448,9448,9433,9433,9433,11449,11449,11449,11542,11542,11542,11246,11246,11246,9516,9516,9516,9516,9516,9516,9529,9529,9529
dimacs10,delaunay-n14,18093,18093,18093,18070,18070,18070,18069,18069,18069,18187,18187,18187,18181,18181,18181,18167,18167,18167,22557,22557,22557,23074,23074,23074,21227,21227,21227,18343,18343,18343,18343,18343,18343,18347,18347,18347
dimacs10,delaunay-n15,35196,35196,35196,35136,35136,35136,35161,35161,35161,35317,35317,35317,35310,35310,35310,35273,35273,35273,42306,42306,42306,43022,43022,43022,37853,37853,37853,35609,35609,35609,35609,35609,35609,35609,35609,35609
dimacs10,delaunay-n16,68958,68958,68958,68879,68879,68879,68916,68916,68916,69062,69062,69062,69060,69060,69060,68991,68991,68991,84724,84724,84724,86065,85461,85461,76193,76193,76193,69678,69678,69678,69663,69663,69663,69670,69670,69670
dimacs10,delaunay-n17,135851,135851,135851,135736,135736,135736,135786,135786,135786,136141,136141,136141,136137,136137,136137,136068,136068,136068,170342,170342,170342,183710,179905,179885,189412,150672,150672,137120,137120,137120,137120,137120,137120,137120,137120,137120
